relative_time,data_id,co2_concentration,brix,out_temperature,in_temperature,ph,pressure_upper,pressure_lower,batch_id
0.0,684.0,1750.0,0.0,27.312,27.312,0.0,1006.5814,0.0,5.0
60.0,685.0,1889.0,0.0,27.312,27.312,0.0,1006.6826,0.0,5.0
120.0,686.0,1968.0,0.0,27.312,27.312,0.0,1006.7907,0.0,5.0
180.0,687.0,1968.0,0.0,27.312,27.312,0.0,1006.8855,0.0,5.0
240.0,688.0,1968.0,0.0,27.312,27.312,0.0,1006.7059,0.0,5.0
300.0,689.0,2328.0,0.0,27.375,27.375,0.0,1006.8045,0.0,5.0
360.0,690.0,2565.0,0.0,27.437,27.437,0.0,1006.6442,0.0,5.0
420.0,691.0,2789.0,0.0,27.375,27.375,0.0,1006.838,0.0,5.0
480.0,692.0,3090.0,0.0,27.375,27.375,0.0,1006.7544,0.0,5.0
540.0,693.0,3471.0,0.0,27.437,27.437,0.0,1006.8652,0.0,5.0
600.0,694.0,3774.0,0.0,27.437,27.437,0.0,1006.7359,0.0,5.0
660.0,695.0,4266.0,0.0,27.5,27.5,0.0,1006.7581,0.0,5.0
720.0,696.0,4606.0,0.0,27.437,27.437,0.0,1006.6128,0.0,5.0
780.0,697.0,4909.0,0.0,27.5,27.5,0.0,1006.7717,0.0,5.0
840.0,698.0,5264.0,0.0,27.5,27.5,0.0,1006.589,0.0,5.0
900.0,699.0,5486.0,0.0,27.562,27.562,0.0,1006.556,0.0,5.0
960.0,700.0,5739.0,0.0,27.5,27.5,0.0,1006.7,0.0,5.0
1020.0,701.0,6063.0,0.0,27.5,27.5,0.0,1006.6532,0.0,5.0
1080.0,702.0,6461.0,0.0,27.562,27.562,0.0,1006.6949,0.0,5.0
1140.0,703.0,6743.0,0.0,27.562,27.562,0.0,1006.6582,0.0,5.0
1200.0,704.0,7121.0,0.0,27.625,27.625,0.0,1006.8085,0.0,5.0
1260.0,705.0,7543.0,0.0,27.562,27.562,0.0,1006.5913,0.0,5.0
1320.0,706.0,7992.0,0.0,27.562,27.562,0.0,1006.5181,0.0,5.0
1380.0,707.0,8264.0,0.0,27.625,27.625,0.0,1006.583,0.0,5.0
1440.0,708.0,8672.0,0.0,27.625,27.625,0.0,1006.5601,0.0,5.0
1500.0,709.0,9113.0,0.0,27.625,27.625,0.0,1006.4581,0.0,5.0
1560.0,710.0,9480.0,0.0,27.687,27.687,0.0,1006.51,0.0,5.0
1620.0,711.0,9786.0,0.0,27.625,27.625,0.0,1006.6008,0.0,5.0
1680.0,712.0,10060.0,0.0,27.687,27.687,0.0,1006.6284,0.0,5.0
1740.0,713.0,10350.0,0.0,27.687,27.687,0.0,1006.4672,0.0,5.0
1800.0,714.0,10667.0,0.0,27.687,27.687,0.0,1006.5502,0.0,5.0
1860.0,715.0,11404.0,0.0,27.687,27.687,0.0,1006.3643,0.0,5.0
1920.0,716.0,11906.0,0.0,27.75,27.75,0.0,1006.3274,0.0,5.0
1980.0,717.0,12305.0,0.0,27.75,27.75,0.0,1006.5295,0.0,5.0
2040.0,718.0,12552.0,0.0,27.75,27.75,0.0,1006.5755,0.0,5.0
2100.0,719.0,12558.0,0.0,27.687,27.687,0.0,1006.4116,0.0,5.0
2160.0,720.0,13127.0,0.0,27.75,27.75,0.0,1006.6017,0.0,5.0
2220.0,721.0,14311.0,0.0,27.75,27.75,0.0,1006.5375,0.0,5.0
2280.0,722.0,15068.0,0.0,27.75,27.75,0.0,1006.619,0.0,5.0
